sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8	assembly	fasta_file
single-cells-dvh-09-48	single-cells-dvh-09-48	single-cell # 48 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 48 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-48_S41_L001_R1_001.fastq.gz	DvH-09-48_S41_L001_R2_001.fastq.gz	DvH-09-48_S41_L002_R1_001.fastq.gz	DvH-09-48_S41_L002_R2_001.fastq.gz	DvH-09-48_S41_L003_R1_001.fastq.gz	DvH-09-48_S41_L003_R2_001.fastq.gz	DvH-09-48_S41_L004_R1_001.fastq.gz	DvH-09-48_S41_L004_R2_001.fastq.gz		
single-cells-dvh-09-49	single-cells-dvh-09-49	single-cell # 49 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 49 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-49_S42_L001_R1_001.fastq.gz	DvH-09-49_S42_L001_R2_001.fastq.gz	DvH-09-49_S42_L002_R1_001.fastq.gz	DvH-09-49_S42_L002_R2_001.fastq.gz	DvH-09-49_S42_L003_R1_001.fastq.gz	DvH-09-49_S42_L003_R2_001.fastq.gz	DvH-09-49_S42_L004_R1_001.fastq.gz	DvH-09-49_S42_L004_R2_001.fastq.gz		
single-cells-dvh-09-5	single-cells-dvh-09-5	single-cell # 5 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 5 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-5_S43_L001_R1_001.fastq.gz	DvH-09-5_S43_L001_R2_001.fastq.gz	DvH-09-5_S43_L002_R1_001.fastq.gz	DvH-09-5_S43_L002_R2_001.fastq.gz	DvH-09-5_S43_L003_R1_001.fastq.gz	DvH-09-5_S43_L003_R2_001.fastq.gz	DvH-09-5_S43_L004_R1_001.fastq.gz	DvH-09-5_S43_L004_R2_001.fastq.gz		
single-cells-dvh-09-50	single-cells-dvh-09-50	single-cell # 50 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 50 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-50_S44_L001_R1_001.fastq.gz	DvH-09-50_S44_L001_R2_001.fastq.gz	DvH-09-50_S44_L002_R1_001.fastq.gz	DvH-09-50_S44_L002_R2_001.fastq.gz	DvH-09-50_S44_L003_R1_001.fastq.gz	DvH-09-50_S44_L003_R2_001.fastq.gz	DvH-09-50_S44_L004_R1_001.fastq.gz	DvH-09-50_S44_L004_R2_001.fastq.gz		
single-cells-dvh-09-51	single-cells-dvh-09-51	single-cell # 51 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 51 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-51_S45_L001_R1_001.fastq.gz	DvH-09-51_S45_L001_R2_001.fastq.gz	DvH-09-51_S45_L002_R1_001.fastq.gz	DvH-09-51_S45_L002_R2_001.fastq.gz	DvH-09-51_S45_L003_R1_001.fastq.gz	DvH-09-51_S45_L003_R2_001.fastq.gz	DvH-09-51_S45_L004_R1_001.fastq.gz	DvH-09-51_S45_L004_R2_001.fastq.gz		
single-cells-dvh-09-52	single-cells-dvh-09-52	single-cell # 52 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 52 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-52_S46_L001_R1_001.fastq.gz	DvH-09-52_S46_L001_R2_001.fastq.gz	DvH-09-52_S46_L002_R1_001.fastq.gz	DvH-09-52_S46_L002_R2_001.fastq.gz	DvH-09-52_S46_L003_R1_001.fastq.gz	DvH-09-52_S46_L003_R2_001.fastq.gz	DvH-09-52_S46_L004_R1_001.fastq.gz	DvH-09-52_S46_L004_R2_001.fastq.gz		
single-cells-dvh-09-53	single-cells-dvh-09-53	single-cell # 53 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 53 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-53_S47_L001_R1_001.fastq.gz	DvH-09-53_S47_L001_R2_001.fastq.gz	DvH-09-53_S47_L002_R1_001.fastq.gz	DvH-09-53_S47_L002_R2_001.fastq.gz	DvH-09-53_S47_L003_R1_001.fastq.gz	DvH-09-53_S47_L003_R2_001.fastq.gz	DvH-09-53_S47_L004_R1_001.fastq.gz	DvH-09-53_S47_L004_R2_001.fastq.gz		
single-cells-dvh-09-54	single-cells-dvh-09-54	single-cell # 54 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 54 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-54_S48_L001_R1_001.fastq.gz	DvH-09-54_S48_L001_R2_001.fastq.gz	DvH-09-54_S48_L002_R1_001.fastq.gz	DvH-09-54_S48_L002_R2_001.fastq.gz	DvH-09-54_S48_L003_R1_001.fastq.gz	DvH-09-54_S48_L003_R2_001.fastq.gz	DvH-09-54_S48_L004_R1_001.fastq.gz	DvH-09-54_S48_L004_R2_001.fastq.gz		
single-cells-dvh-09-55	single-cells-dvh-09-55	single-cell # 55 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 55 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-55_S49_L001_R1_001.fastq.gz	DvH-09-55_S49_L001_R2_001.fastq.gz	DvH-09-55_S49_L002_R1_001.fastq.gz	DvH-09-55_S49_L002_R2_001.fastq.gz	DvH-09-55_S49_L003_R1_001.fastq.gz	DvH-09-55_S49_L003_R2_001.fastq.gz	DvH-09-55_S49_L004_R1_001.fastq.gz	DvH-09-55_S49_L004_R2_001.fastq.gz		
single-cells-dvh-09-56	single-cells-dvh-09-56	single-cell # 56 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 56 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-56_S50_L001_R1_001.fastq.gz	DvH-09-56_S50_L001_R2_001.fastq.gz	DvH-09-56_S50_L002_R1_001.fastq.gz	DvH-09-56_S50_L002_R2_001.fastq.gz	DvH-09-56_S50_L003_R1_001.fastq.gz	DvH-09-56_S50_L003_R2_001.fastq.gz	DvH-09-56_S50_L004_R1_001.fastq.gz	DvH-09-56_S50_L004_R2_001.fastq.gz		
single-cells-dvh-09-57	single-cells-dvh-09-57	single-cell # 57 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 57 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-57_S51_L001_R1_001.fastq.gz	DvH-09-57_S51_L001_R2_001.fastq.gz	DvH-09-57_S51_L002_R1_001.fastq.gz	DvH-09-57_S51_L002_R2_001.fastq.gz	DvH-09-57_S51_L003_R1_001.fastq.gz	DvH-09-57_S51_L003_R2_001.fastq.gz	DvH-09-57_S51_L004_R1_001.fastq.gz	DvH-09-57_S51_L004_R2_001.fastq.gz		
single-cells-dvh-09-58	single-cells-dvh-09-58	single-cell # 58 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 58 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-58_S52_L001_R1_001.fastq.gz	DvH-09-58_S52_L001_R2_001.fastq.gz	DvH-09-58_S52_L002_R1_001.fastq.gz	DvH-09-58_S52_L002_R2_001.fastq.gz	DvH-09-58_S52_L003_R1_001.fastq.gz	DvH-09-58_S52_L003_R2_001.fastq.gz	DvH-09-58_S52_L004_R1_001.fastq.gz	DvH-09-58_S52_L004_R2_001.fastq.gz		
single-cells-dvh-09-59	single-cells-dvh-09-59	single-cell # 59 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 59 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-59_S53_L001_R1_001.fastq.gz	DvH-09-59_S53_L001_R2_001.fastq.gz	DvH-09-59_S53_L002_R1_001.fastq.gz	DvH-09-59_S53_L002_R2_001.fastq.gz	DvH-09-59_S53_L003_R1_001.fastq.gz	DvH-09-59_S53_L003_R2_001.fastq.gz	DvH-09-59_S53_L004_R1_001.fastq.gz	DvH-09-59_S53_L004_R2_001.fastq.gz		
single-cells-dvh-09-6	single-cells-dvh-09-6	single-cell # 6 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 6 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-6_S54_L001_R1_001.fastq.gz	DvH-09-6_S54_L001_R2_001.fastq.gz	DvH-09-6_S54_L002_R1_001.fastq.gz	DvH-09-6_S54_L002_R2_001.fastq.gz	DvH-09-6_S54_L003_R1_001.fastq.gz	DvH-09-6_S54_L003_R2_001.fastq.gz	DvH-09-6_S54_L004_R1_001.fastq.gz	DvH-09-6_S54_L004_R2_001.fastq.gz		
single-cells-dvh-09-60	single-cells-dvh-09-60	single-cell # 60 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 60 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-60_S55_L001_R1_001.fastq.gz	DvH-09-60_S55_L001_R2_001.fastq.gz	DvH-09-60_S55_L002_R1_001.fastq.gz	DvH-09-60_S55_L002_R2_001.fastq.gz	DvH-09-60_S55_L003_R1_001.fastq.gz	DvH-09-60_S55_L003_R2_001.fastq.gz	DvH-09-60_S55_L004_R1_001.fastq.gz	DvH-09-60_S55_L004_R2_001.fastq.gz		
single-cells-dvh-09-61	single-cells-dvh-09-61	single-cell # 61 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 61 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-61_S56_L001_R1_001.fastq.gz	DvH-09-61_S56_L001_R2_001.fastq.gz	DvH-09-61_S56_L002_R1_001.fastq.gz	DvH-09-61_S56_L002_R2_001.fastq.gz	DvH-09-61_S56_L003_R1_001.fastq.gz	DvH-09-61_S56_L003_R2_001.fastq.gz	DvH-09-61_S56_L004_R1_001.fastq.gz	DvH-09-61_S56_L004_R2_001.fastq.gz		
single-cells-dvh-09-62	single-cells-dvh-09-62	single-cell # 62 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 62 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-62_S57_L001_R1_001.fastq.gz	DvH-09-62_S57_L001_R2_001.fastq.gz	DvH-09-62_S57_L002_R1_001.fastq.gz	DvH-09-62_S57_L002_R2_001.fastq.gz	DvH-09-62_S57_L003_R1_001.fastq.gz	DvH-09-62_S57_L003_R2_001.fastq.gz	DvH-09-62_S57_L004_R1_001.fastq.gz	DvH-09-62_S57_L004_R2_001.fastq.gz		
single-cells-dvh-09-63	single-cells-dvh-09-63	single-cell # 63 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 63 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-63_S58_L001_R1_001.fastq.gz	DvH-09-63_S58_L001_R2_001.fastq.gz	DvH-09-63_S58_L002_R1_001.fastq.gz	DvH-09-63_S58_L002_R2_001.fastq.gz	DvH-09-63_S58_L003_R1_001.fastq.gz	DvH-09-63_S58_L003_R2_001.fastq.gz	DvH-09-63_S58_L004_R1_001.fastq.gz	DvH-09-63_S58_L004_R2_001.fastq.gz		
single-cells-dvh-09-64	single-cells-dvh-09-64	single-cell # 64 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 64 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-64_S59_L001_R1_001.fastq.gz	DvH-09-64_S59_L001_R2_001.fastq.gz	DvH-09-64_S59_L002_R1_001.fastq.gz	DvH-09-64_S59_L002_R2_001.fastq.gz	DvH-09-64_S59_L003_R1_001.fastq.gz	DvH-09-64_S59_L003_R2_001.fastq.gz	DvH-09-64_S59_L004_R1_001.fastq.gz	DvH-09-64_S59_L004_R2_001.fastq.gz		
single-cells-dvh-09-65	single-cells-dvh-09-65	single-cell # 65 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 65 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-65_S60_L001_R1_001.fastq.gz	DvH-09-65_S60_L001_R2_001.fastq.gz	DvH-09-65_S60_L002_R1_001.fastq.gz	DvH-09-65_S60_L002_R2_001.fastq.gz	DvH-09-65_S60_L003_R1_001.fastq.gz	DvH-09-65_S60_L003_R2_001.fastq.gz	DvH-09-65_S60_L004_R1_001.fastq.gz	DvH-09-65_S60_L004_R2_001.fastq.gz		
single-cells-dvh-09-66	single-cells-dvh-09-66	single-cell # 66 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 66 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-66_S61_L001_R1_001.fastq.gz	DvH-09-66_S61_L001_R2_001.fastq.gz	DvH-09-66_S61_L002_R1_001.fastq.gz	DvH-09-66_S61_L002_R2_001.fastq.gz	DvH-09-66_S61_L003_R1_001.fastq.gz	DvH-09-66_S61_L003_R2_001.fastq.gz	DvH-09-66_S61_L004_R1_001.fastq.gz	DvH-09-66_S61_L004_R2_001.fastq.gz		
single-cells-dvh-09-67	single-cells-dvh-09-67	single-cell # 67 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 67 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-67_S62_L001_R1_001.fastq.gz	DvH-09-67_S62_L001_R2_001.fastq.gz	DvH-09-67_S62_L002_R1_001.fastq.gz	DvH-09-67_S62_L002_R2_001.fastq.gz	DvH-09-67_S62_L003_R1_001.fastq.gz	DvH-09-67_S62_L003_R2_001.fastq.gz	DvH-09-67_S62_L004_R1_001.fastq.gz	DvH-09-67_S62_L004_R2_001.fastq.gz		
single-cells-dvh-09-68	single-cells-dvh-09-68	single-cell # 68 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 68 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-68_S63_L001_R1_001.fastq.gz	DvH-09-68_S63_L001_R2_001.fastq.gz	DvH-09-68_S63_L002_R1_001.fastq.gz	DvH-09-68_S63_L002_R2_001.fastq.gz	DvH-09-68_S63_L003_R1_001.fastq.gz	DvH-09-68_S63_L003_R2_001.fastq.gz	DvH-09-68_S63_L004_R1_001.fastq.gz	DvH-09-68_S63_L004_R2_001.fastq.gz		
single-cells-dvh-09-69	single-cells-dvh-09-69	single-cell # 69 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 69 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-69_S64_L001_R1_001.fastq.gz	DvH-09-69_S64_L001_R2_001.fastq.gz	DvH-09-69_S64_L002_R1_001.fastq.gz	DvH-09-69_S64_L002_R2_001.fastq.gz	DvH-09-69_S64_L003_R1_001.fastq.gz	DvH-09-69_S64_L003_R2_001.fastq.gz	DvH-09-69_S64_L004_R1_001.fastq.gz	DvH-09-69_S64_L004_R2_001.fastq.gz		
single-cells-dvh-09-7	single-cells-dvh-09-7	single-cell # 7 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 7 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-7_S65_L001_R1_001.fastq.gz	DvH-09-7_S65_L001_R2_001.fastq.gz	DvH-09-7_S65_L002_R1_001.fastq.gz	DvH-09-7_S65_L002_R2_001.fastq.gz	DvH-09-7_S65_L003_R1_001.fastq.gz	DvH-09-7_S65_L003_R2_001.fastq.gz	DvH-09-7_S65_L004_R1_001.fastq.gz	DvH-09-7_S65_L004_R2_001.fastq.gz		
single-cells-dvh-09-70	single-cells-dvh-09-70	single-cell # 70 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 70 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-70_S66_L001_R1_001.fastq.gz	DvH-09-70_S66_L001_R2_001.fastq.gz	DvH-09-70_S66_L002_R1_001.fastq.gz	DvH-09-70_S66_L002_R2_001.fastq.gz	DvH-09-70_S66_L003_R1_001.fastq.gz	DvH-09-70_S66_L003_R2_001.fastq.gz	DvH-09-70_S66_L004_R1_001.fastq.gz	DvH-09-70_S66_L004_R2_001.fastq.gz		
single-cells-dvh-09-71	single-cells-dvh-09-71	single-cell # 71 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 71 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-71_S67_L001_R1_001.fastq.gz	DvH-09-71_S67_L001_R2_001.fastq.gz	DvH-09-71_S67_L002_R1_001.fastq.gz	DvH-09-71_S67_L002_R2_001.fastq.gz	DvH-09-71_S67_L003_R1_001.fastq.gz	DvH-09-71_S67_L003_R2_001.fastq.gz	DvH-09-71_S67_L004_R1_001.fastq.gz	DvH-09-71_S67_L004_R2_001.fastq.gz		
single-cells-dvh-09-72	single-cells-dvh-09-72	single-cell # 72 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 72 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-72_S68_L001_R1_001.fastq.gz	DvH-09-72_S68_L001_R2_001.fastq.gz	DvH-09-72_S68_L002_R1_001.fastq.gz	DvH-09-72_S68_L002_R2_001.fastq.gz	DvH-09-72_S68_L003_R1_001.fastq.gz	DvH-09-72_S68_L003_R2_001.fastq.gz	DvH-09-72_S68_L004_R1_001.fastq.gz	DvH-09-72_S68_L004_R2_001.fastq.gz		
single-cells-dvh-09-73	single-cells-dvh-09-73	single-cell # 73 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 73 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-73_S69_L001_R1_001.fastq.gz	DvH-09-73_S69_L001_R2_001.fastq.gz	DvH-09-73_S69_L002_R1_001.fastq.gz	DvH-09-73_S69_L002_R2_001.fastq.gz	DvH-09-73_S69_L003_R1_001.fastq.gz	DvH-09-73_S69_L003_R2_001.fastq.gz	DvH-09-73_S69_L004_R1_001.fastq.gz	DvH-09-73_S69_L004_R2_001.fastq.gz		
single-cells-dvh-09-74	single-cells-dvh-09-74	single-cell # 74 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 74 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-74_S70_L001_R1_001.fastq.gz	DvH-09-74_S70_L001_R2_001.fastq.gz	DvH-09-74_S70_L002_R1_001.fastq.gz	DvH-09-74_S70_L002_R2_001.fastq.gz	DvH-09-74_S70_L003_R1_001.fastq.gz	DvH-09-74_S70_L003_R2_001.fastq.gz	DvH-09-74_S70_L004_R1_001.fastq.gz	DvH-09-74_S70_L004_R2_001.fastq.gz		
single-cells-dvh-09-75	single-cells-dvh-09-75	single-cell # 75 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 75 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-75_S71_L001_R1_001.fastq.gz	DvH-09-75_S71_L001_R2_001.fastq.gz	DvH-09-75_S71_L002_R1_001.fastq.gz	DvH-09-75_S71_L002_R2_001.fastq.gz	DvH-09-75_S71_L003_R1_001.fastq.gz	DvH-09-75_S71_L003_R2_001.fastq.gz	DvH-09-75_S71_L004_R1_001.fastq.gz	DvH-09-75_S71_L004_R2_001.fastq.gz		
single-cells-dvh-09-76	single-cells-dvh-09-76	single-cell # 76 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 76 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-76_S72_L001_R1_001.fastq.gz	DvH-09-76_S72_L001_R2_001.fastq.gz	DvH-09-76_S72_L002_R1_001.fastq.gz	DvH-09-76_S72_L002_R2_001.fastq.gz	DvH-09-76_S72_L003_R1_001.fastq.gz	DvH-09-76_S72_L003_R2_001.fastq.gz	DvH-09-76_S72_L004_R1_001.fastq.gz	DvH-09-76_S72_L004_R2_001.fastq.gz		
single-cells-dvh-09-77	single-cells-dvh-09-77	single-cell # 77 of Desulfovibrio EPD 09 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 77 of Desulfovibrio vulgaris from EPD 09 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-09-77_S73_L001_R1_001.fastq.gz	DvH-09-77_S73_L001_R2_001.fastq.gz	DvH-09-77_S73_L002_R1_001.fastq.gz	DvH-09-77_S73_L002_R2_001.fastq.gz	DvH-09-77_S73_L003_R1_001.fastq.gz	DvH-09-77_S73_L003_R2_001.fastq.gz	DvH-09-77_S73_L004_R1_001.fastq.gz	DvH-09-77_S73_L004_R2_001.fastq.gz		
